task_id,footnote_index,page_number,markdown_line,text,raw,imported_at
00113ac5-d12a-402a-b709-a2db02eea12c,82,,,债权投资减值准备本期变动情况,"{""line"": null, ""text"": ""债权投资减值准备本期变动情况"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 167, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,83,,,各阶段划分依据和坏账准备计提比例,"{""line"": null, ""text"": ""各阶段划分依据和坏账准备计提比例"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 167, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,84,,,其他说明：,"{""line"": null, ""text"": ""其他说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 175, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,85,,,可收回金额按预计未来现金流量的现值确定,"{""line"": null, ""text"": ""可收回金额按预计未来现金流量的现值确定"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 175, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,86,,,适用 □不适用,"{""line"": null, ""text"": ""适用 □不适用"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 175, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,87,,,前述信息与以前年度减值测试采用的信息或外部信息明显不一致的差异原因,"{""line"": null, ""text"": ""前述信息与以前年度减值测试采用的信息或外部信息明显不一致的差异原因"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 176, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,88,,,本期末通过公司内部研发形成的无形资产占无形资产余额的比例 0.00%。,"{""line"": null, ""text"": ""本期末通过公司内部研发形成的无形资产占无形资产余额的比例 0.00%。"", ""source"": ""content_list_footnote"", ""pdf_page_number"": 180, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,89,,,其他说明：,"{""line"": null, ""text"": ""其他说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 184, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,90,,,其他说明：,"{""line"": null, ""text"": ""其他说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 184, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,91,,,其他说明：,"{""line"": null, ""text"": ""其他说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 184, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
00113ac5-d12a-402a-b709-a2db02eea12c,92,,,短期借款分类的说明：,"{""line"": null, ""text"": ""短期借款分类的说明："", ""source"": ""content_list_footnote"", ""pdf_page_number"": 185, ""pdf_page_source"": ""content_list"", ""pdf_page_inference_reason"": """"}",2026-05-16 03:50:36.522022+00
